"ROW_ID","ID","STATE_NAME","CNTY_NAME","NC_REGION","ACSTOTPOP","PEOPCOLORPCT","LOWINCPCT","UNEMPPCT","LINGISOPCT","LESSHSPCT","UNDER5PCT","OVER64PCT","LIFEEXPPCT","PM25","OZONE","DSLPM","CANCER","RESP","RSEI_AIR","PTRAF","PRE1960PCT","PNPL","PRMP","PTSDF","UST","AREALAND","AREAWATER"
56,"370010212012","North Carolina","Alamance County","Piedmont",1984,40.5241936,32.9637097,2.8310502,0.6459948,17.3787111,5.3931452,22.0262097,21.6410256,7.848757589,60.38242,0.145561633,30,0.3,180.5504805,49.8901138,29.969104,0.019799522,0.416707372,0.08965136,3.888895555,14971906,501038
57,"370010212013","North Carolina","Alamance County","Piedmont",1024,20.8007813,50.8789063,0.9940358,0,31.4868805,11.1328125,11.4257813,21.6410256,7.848757589,60.38242,0.145561633,30,0.3,156.451393,42.54724859,37.0892019,0.019321454,0.609632333,0.097695908,7.261054633,8205450,241623
58,"370010212041","North Carolina","Alamance County","Piedmont",1136,42.6056338,21.3908451,0,0,10.0401606,3.1690141,7.6584507,12.7179487,7.893622466,60.29321,0.157905183,30,0.3,145.3228361,47.75657837,10.9619687,0.019787518,0.785924978,0.133526034,2.416983222,13035505,184266
59,"370010212042","North Carolina","Alamance County","Piedmont",3731,31.8681319,24.8615725,3.0785018,1.2803235,13.0388693,5.2264808,17.7164299,12.7179487,7.893622466,60.29321,0.157905183,30,0.3,134.1685757,25.85767579,4.423676,0.020907169,0.516230092,0.183611334,0.345403524,20278413,144731
60,"370010212051","North Carolina","Alamance County","Piedmont",641,18.7207488,0,4.7858942,0,3.6876356,2.9641186,12.324493,19.4871795,7.873270411,60.31694,0.187704924,30,0.4,127.1281689,36.39011661,14.5061728,0.021079608,0.21930084,0.234419151,0,1415407,4395
61,"370010212052","North Carolina","Alamance County","Piedmont",2014,58.4409136,28.9473684,5.9578368,1.3847676,0.1297859,4.5183714,13.3565045,19.4871795,7.873270411,60.31694,0.187704924,30,0.4,131.1902449,71.58795404,10.1893598,0.021546721,0.16880317,0.33369943,12.05539133,2401317,33952
62,"370010212053","North Carolina","Alamance County","Piedmont",5046,57.0947285,25.3468094,4.3342444,0,7.5308642,6.876734,9.5917558,19.4871795,7.873270411,60.31694,0.187704924,30,0.4,125.755533,217.2868535,2.4102564,0.02119951,0.308676089,0.214246545,4.641952682,7876970,51721
63,"370010212061","North Carolina","Alamance County","Piedmont",1127,50.310559,28.9263532,0,7.7858881,17.005988,1.6858917,12.244898,20.4102564,7.850615342,60.32298,0.159538482,30,0.3,145.6070569,81.88919706,3.8636364,0.019702673,0.527776796,0.119315396,0.995631902,5357731,40316
64,"370010212062","North Carolina","Alamance County","Piedmont",2521,43.4748116,22.5307418,0.8221226,0,3.0075188,4.6806823,15.6287188,20.4102564,7.850615342,60.32298,0.159538482,30,0.3,142.7148917,13.02250863,4.5666356,0.020574175,0.278577609,0.174998702,0.550635947,5647550,39599
65,"370010212063","North Carolina","Alamance County","Piedmont",1934,26.3185109,21.975181,15.5391121,0,5.8101473,3.8262668,9.5139607,20.4102564,7.850615342,60.32298,0.159538482,30,0.3,146.6656116,61.89807655,44.2916094,0.02129347,0.172675435,0.24601566,14.91666356,1938630,97
66,"370010212071","North Carolina","Alamance County","Piedmont",1807,32.8168235,47.3713337,11.4247312,0,5.3970702,11.123409,24.4604317,19.0769231,7.834963836,60.26609,0.133760545,30,0.3,159.4002636,25.29772146,25.748503,0.021467377,0.174653172,0.170840275,2.21589162,10056143,863403
67,"370010212072","North Carolina","Alamance County","Piedmont",1638,12.8205128,48.7789988,5.2631579,0,3.3800495,2.6251526,25.3357753,19.0769231,7.834963836,60.26609,0.133760545,30,0.3,148.6001394,85.90454023,51.5,0.021949104,0.138990811,0.258113932,14.39344859,1899880,0
68,"370010213001","North Carolina","Alamance County","Piedmont",1421,37.2976777,30.7911618,3.187251,0.9225092,10.9979633,10.1337087,12.9486277,18.5641026,7.749782904,60.00531,0.098103208,30,0.3,226.8361812,1.51203558,12.7118644,0.022542767,0.094539964,0.066139225,0.606352595,46529807,1068129
69,"370010213002","North Carolina","Alamance County","Piedmont",1062,53.0131827,41.3207547,4.6153846,0.7125891,11.9078105,6.9679849,17.1374765,18.5641026,7.749782904,60.00531,0.098103208,30,0.3,200.4160922,0.96313178,16.631579,0.024848748,0.072267431,0.064319701,0.900165757,25091963,625146
70,"370010213003","North Carolina","Alamance County","Piedmont",929,41.8729817,30.6781486,7.8947368,0,16.1016949,4.9515608,20.3444564,18.5641026,7.749782904,60.00531,0.098103208,30,0.3,114.4485068,0.724203164,16.8765743,0.026789126,0.062091196,0.066352679,0.272001197,26439131,410049
71,"370010213004","North Carolina","Alamance County","Piedmont",1332,26.5765766,2.6276276,0.3062787,0,6.8328717,1.3513514,33.8588589,18.5641026,7.749782904,60.00531,0.098103208,30,0.3,148.1313032,8.337573574,1.2131716,0.02295696,0.10776517,0.152026916,0.353149868,12378113,610814
72,"370010213005","North Carolina","Alamance County","Piedmont",1401,15.060671,26.3383298,4,0.6550218,10.0120627,5.7815846,13.4189864,18.5641026,7.749782904,60.00531,0.098103208,30,0.3,184.0727765,3.96757826,11.8773946,0.022078778,0.132042339,0.09262299,1.481549827,24819614,960155
73,"370010214001","North Carolina","Alamance County","Piedmont",1481,21.3369345,16.6087561,6.3183475,0,6.2442608,6.2795409,17.083052,21.7435897,7.755401973,59.97642,0.112016833,30,0.3,244.2123566,2.263271562,39.5275591,0.019198306,0.160995285,0.122191257,1.340348571,23539297,950238
74,"370010214002","North Carolina","Alamance County","Piedmont",939,19.3823216,14.3769968,3.0035336,0,11.223203,0.6389776,30.457934,21.7435897,7.755401973,59.97642,0.112016833,30,0.3,294.9690569,0.681199789,26.2264151,0.02091778,0.082717397,0.074589455,0,41646779,3569911
